user_id,movie_id,rating
1,tt15354916,3.0
1,tt15748830,4.0
1,tt11663228,3.0
1,tt14993250,3.0
1,tt15732324,4.0
1,tt18266472,2.0
1,tt18561736,2.0
1,tt3691740,2.0
1,tt12844910,3.0
2,tt15464390,2.0
2,tt1187043,3.0
2,tt14914988,2.0
2,tt3741834,5.0
3,tt13131610,4.0
3,tt22188452,3.0
3,tt28568397,5.0
3,tt21908676,3.0
3,tt15441054,1.0
3,tt27542289,2.0
4,tt0454876,5.0
4,tt0249371,1.0
4,tt0838221,3.0
4,tt5074352,2.0
4,tt8239946,3.0
4,tt15428134,2.0
5,tt24485052,3.0
5,tt1954470,4.0
5,tt6148156,4.0
5,tt2067010,3.0
5,tt1620719,4.0
5,tt15281402,3.0
6,tt12862042,3.0
6,tt28362963,4.0
6,tt0432637,2.0
6,tt0211934,2.0
6,tt1639426,2.0
6,tt0240200,3.0
6,tt1438298,2.0
7,tt0254481,3.0
7,tt0118983,2.0
7,tt2229842,5.0
7,tt2429640,4.0
7,tt10840884,3.0
7,tt6108090,5.0
8,tt10598156,3.0
8,tt0432047,1.0
8,tt27470893,2.0
8,tt9851854,5.0
8,tt9054970,1.0
9,tt4977530,3.0
9,tt4169250,2.0
9,tt1948150,3.0
9,tt2356180,2.0
9,tt13438922,3.0
9,tt6129302,4.0
9,tt1985981,4.0
9,tt8396128,3.0
10,tt1629376,4.0
10,tt8907986,3.0
10,tt26008876,3.0
10,tt2181831,4.0
10,tt2408040,2.0
10,tt10888594,2.0
10,tt4435072,2.0
10,tt2527238,3.0
10,tt27744786,2.0
11,tt2168910,3.0
11,tt0061842,2.0
11,tt0126871,5.0
11,tt0805184,4.0
11,tt6484982,3.0
12,tt8983180,5.0
12,tt2213054,3.0
12,tt6711660,1.0
12,tt3678938,2.0
12,tt13545522,5.0
13,tt1274295,1.0
13,tt1373156,3.0
13,tt0259534,2.0
13,tt6206564,3.0
13,tt7399470,2.0
13,tt8366590,3.0
13,tt9635540,4.0
14,tt6455162,4.0
14,tt4434004,3.0
14,tt11112532,4.0
14,tt9105014,3.0
14,tt14398454,3.0
14,tt2106537,4.0
14,tt0453671,2.0
14,tt11947158,2.0
15,tt1144804,2.0
15,tt24225606,3.0
15,tt2436516,2.0
15,tt0104561,3.0
15,tt13510660,2.0
15,tt15314640,5.0
15,tt0920464,4.0
15,tt13491110,3.0
15,tt3159708,5.0
15,tt8504014,3.0
15,tt1328634,1.0
15,tt0102071,2.0
16,tt3447364,5.0
16,tt11783766,1.0
16,tt11821912,3.0
16,tt0800956,2.0
16,tt5121000,3.0
16,tt5571734,2.0
16,tt13919802,3.0
17,tt5108476,4.0
17,tt7581902,4.0
17,tt0337578,3.0
17,tt15717242,4.0
17,tt0059246,3.0
17,tt5882970,3.0
17,tt0367495,4.0
17,tt0378072,2.0
18,tt2377938,2.0
18,tt14107554,2.0
18,tt14339846,3.0
18,tt2317337,2.0
18,tt1729637,3.0
18,tt5477608,2.0
18,tt23023596,5.0
18,tt11260832,4.0
19,tt9569610,3.0
19,tt0096028,5.0
19,tt5472374,3.0
19,tt0795434,1.0
19,tt0488798,2.0
19,tt0106333,5.0
19,tt2762334,1.0
20,tt2309764,3.0
20,tt4129428,2.0
20,tt13885320,3.0
20,tt3043252,2.0
20,tt10786774,3.0
20,tt9877170,4.0
21,tt1227762,4.0
21,tt2855648,3.0
21,tt7431594,4.0
21,tt10230426,3.0
21,tt3679000,3.0
21,tt5474036,4.0
22,tt0374271,2.0
22,tt15891396,2.0
22,tt4559046,2.0
22,tt5785170,3.0
22,tt0418460,2.0
22,tt2372678,3.0
23,tt0156985,2.0
23,tt8984572,5.0
23,tt0154685,4.0
23,tt1954598,3.0
23,tt1077248,5.0
23,tt15163652,3.0
24,tt7778680,1.0
24,tt0995752,2.0
24,tt0152836,5.0
24,tt6475412,1.0
24,tt11816092,3.0
25,tt6836936,2.0
25,tt1428459,3.0
25,tt1980986,2.0
25,tt3848892,3.0
25,tt22099068,4.0
26,tt0418362,4.0
26,tt0278291,5.0
25,tt1182972,4.0
26,tt5745450,3.0
26,tt1327035,5.0
27,tt15509266,3.0
27,tt0248185,1.0
27,tt0050870,2.0
27,tt15204306,5.0
27,tt10393870,1.0
28,tt12782448,3.0
28,tt0411469,2.0
28,tt1321869,3.0
28,tt9614452,2.0
28,tt11873440,3.0
29,tt4814290,4.0
29,tt8983220,4.0
29,tt8066940,3.0
29,tt0330082,4.0
29,tt0113526,3.0
29,tt4007558,3.0
